pid,name,username,status,create_time,cpu_times,memory_info,memory_percent
2456,steamservice.exe,,running,2023-12-14 14:35:38,3:27:12.700520,"pmem(rss=15159296, vms=9883648, num_page_faults=47097, peak_wset=27168768, wset=15159296, peak_paged_pool=328472, paged_pool=145512, peak_nonpaged_pool=1600672, nonpaged_pool=19128, pagefile=9883648, peak_pagefile=18104320, private=9883648)",0.0916371959364685
2484,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.433356,"pmem(rss=10330112, vms=2465792, num_page_faults=4322, peak_wset=11264000, wset=10330112, peak_paged_pool=129872, paged_pool=122000, peak_nonpaged_pool=12784, nonpaged_pool=11144, pagefile=2465792, peak_pagefile=2936832, private=2465792)",0.06244501706343517
2492,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.450943,"pmem(rss=10936320, vms=4079616, num_page_faults=7642, peak_wset=12320768, wset=10936320, peak_paged_pool=108376, paged_pool=106440, peak_nonpaged_pool=75472, nonpaged_pool=15328, pagefile=4079616, peak_pagefile=4329472, private=4079616)",0.06610951449618235
2500,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.463903,"pmem(rss=8335360, vms=3162112, num_page_faults=6757, peak_wset=9375744, wset=8335360, peak_paged_pool=88728, paged_pool=87928, peak_nonpaged_pool=140968, nonpaged_pool=12120, pagefile=3162112, peak_pagefile=5922816, private=3162112)",0.050386839700273814
2508,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.474997,"pmem(rss=9977856, vms=2797568, num_page_faults=5007, peak_wset=10743808, wset=9977856, peak_paged_pool=134544, paged_pool=132544, peak_nonpaged_pool=11552, nonpaged_pool=11144, pagefile=2797568, peak_pagefile=3166208, private=2797568)",0.06031564693359559
2524,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.482025,"pmem(rss=63713280, vms=7614464, num_page_faults=28965, peak_wset=67108864, wset=63713280, peak_paged_pool=879664, paged_pool=334808, peak_nonpaged_pool=81896, nonpaged_pool=21944, pagefile=7614464, peak_pagefile=8900608, private=7614464)",0.38514363220528713
2532,svchost.exe,,running,2023-12-14 12:07:01,5:55:49.660180,"pmem(rss=19718144, vms=11546624, num_page_faults=33464, peak_wset=28680192, wset=19718144, peak_paged_pool=156544, paged_pool=148672, peak_nonpaged_pool=1632696, nonpaged_pool=22704, pagefile=11546624, peak_pagefile=19763200, private=11546624)",0.1191952070354389
2692,chrome.exe,HAL-9000\PrisonMike,running,2023-12-14 14:18:43,3:44:08.519180,"pmem(rss=87064576, vms=57921536, num_page_faults=2385715, peak_wset=148451328, wset=87064576, peak_paged_pool=728192, paged_pool=715896, peak_nonpaged_pool=720864, nonpaged_pool=27952, pagefile=57921536, peak_pagefile=122949632, private=57921536)",0.5263010637194203
2700,csrss.exe,,running,2023-12-14 14:18:13,3:44:38.481888,"pmem(rss=12500992, vms=6963200, num_page_faults=5998563, peak_wset=37498880, wset=12500992, peak_paged_pool=471144, paged_pool=435272, peak_nonpaged_pool=44168, nonpaged_pool=43168, pagefile=6963200, peak_pagefile=17256448, private=6963200)",0.07556787949151632
2748,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.495248,"pmem(rss=6152192, vms=2465792, num_page_faults=2222, peak_wset=7020544, wset=6152192, peak_paged_pool=61296, paged_pool=61024, peak_nonpaged_pool=8968, nonpaged_pool=7744, pagefile=2465792, peak_pagefile=2555904, private=2465792)",0.037189696918826176
2756,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.502975,"pmem(rss=9752576, vms=3514368, num_page_faults=4301, peak_wset=9908224, wset=9752576, peak_paged_pool=98864, paged_pool=97104, peak_nonpaged_pool=17096, nonpaged_pool=13096, pagefile=3514368, peak_pagefile=3883008, private=3514368)",0.05895384045520981
2764,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.510795,"pmem(rss=16445440, vms=4001792, num_page_faults=13012, peak_wset=17600512, wset=16445440, peak_paged_pool=144832, paged_pool=140344, peak_nonpaged_pool=27424, nonpaged_pool=13184, pagefile=4001792, peak_pagefile=4685824, private=4001792)",0.09941187292216186
2832,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.514461,"pmem(rss=5660672, vms=1622016, num_page_faults=2364, peak_wset=6283264, wset=5660672, peak_paged_pool=66344, paged_pool=64296, peak_nonpaged_pool=27896, nonpaged_pool=12728, pagefile=1622016, peak_pagefile=1896448, private=1622016)",0.034218482784166296
2840,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.522157,"pmem(rss=7442432, vms=2191360, num_page_faults=80013, peak_wset=9859072, wset=7442432, peak_paged_pool=87560, paged_pool=87016, peak_nonpaged_pool=1121720, nonpaged_pool=10776, pagefile=2191360, peak_pagefile=5652480, private=2191360)",0.04498913402230837
2848,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.531236,"pmem(rss=9129984, vms=4141056, num_page_faults=77358, peak_wset=10379264, wset=9129984, peak_paged_pool=100040, paged_pool=91304, peak_nonpaged_pool=313824, nonpaged_pool=16816, pagefile=4141056, peak_pagefile=5500928, private=4141056)",0.055190302551307295
2864,msedgewebview2.exe,HAL-9000\PrisonMike,running,2023-12-14 14:23:31,3:39:20.580780,"pmem(rss=7725056, vms=2183168, num_page_faults=2536, peak_wset=8724480, wset=7725056, peak_paged_pool=122584, paged_pool=122008, peak_nonpaged_pool=11584, nonpaged_pool=10736, pagefile=2183168, peak_pagefile=2306048, private=2183168)",0.04669758214973781
